TICKER;PRECO;DY;P/L;P/VP;P/ATIVOS;MARGEM BRUTA;MARGEM EBIT;MARG. LIQUIDA;P/EBIT;EV/EBIT;DIVIDA LIQUIDA / EBIT;DIV. LIQ. / PATRI.;PSR;P/CAP. GIRO;P. AT CIR. LIQ.;LIQ. CORRENTE;ROE;ROA;ROIC;PATRIMONIO / ATIVOS;PASSIVOS / ATIVOS;GIRO ATIVOS;CAGR RECEITAS 5 ANOS;CAGR LUCROS 5 ANOS; LIQUIDEZ MEDIA DIARIA
ALSC3;27,75;;36,58;2,15;1,20;75,71;65,32;29,30;16,41;14,85;-1,56;-0,20;10,72;9,41;-1,43;5,39;5,88;3,29;11,21;0,56;0,44;0,11;2,54;10,07;
ALSO3;29,47;;62,19;1,03;0,72;71,07;39,35;14,34;22,67;18,40;-4,26;-0,19;8,92;5,10;-0,85;9,03;1,65;1,15;3,72;0,70;0,30;0,08;18,45;-27,08;65.970.006,28
ALUP11;24,27;1,36;5,18;0,91;0,36;49,37;47,57;29,42;3,21;5,56;2,35;0,67;1,53;2,44;-0,48;2,43;17,54;6,89;10,14;0,39;0,61;0,23;25,59;16,91;19.075.163,72
ALUP3;9,72;1,13;6,23;1,09;0,43;49,37;47,57;29,42;3,85;5,56;2,35;0,67;1,83;2,93;-0,57;2,43;17,54;6,89;10,14;0,39;0,61;0,23;25,59;16,91;225.936,94
ALUP4;7,26;1,52;4,65;0,82;0,32;49,37;47,57;29,42;2,88;5,56;2,35;0,67;1,37;2,19;-0,43;2,43;17,54;6,89;10,14;0,39;0,61;0,23;25,59;16,91;159.584,36
AMAR3;8,53;;-12,50;1,69;0,65;45,06;-0,34;-6,27;-231,42;-335,21;-103,79;0,76;0,78;2,78;-1,43;1,76;-13,49;-5,23;-1,33;0,39;0,61;0,83;-2,93;;68.589.897,61
ANDG3B;153,00;;318,25;11,82;10,00;47,12;179,06;45,82;81,43;41,65;0,93;0,13;145,82;-134,40;-10,27;0,26;3,71;3,14;12,68;0,85;0,15;0,07;10,22;-23,32;
ANDG4B;0,00;;0,00;0,00;0,00;47,12;179,06;45,82;0,00;41,65;0,93;0,13;0,00;0,00;0,00;0,26;3,71;3,14;12,68;0,85;0,15;0,07;10,22;-23,32;
ANIM3;25,15;;-42,00;1,68;0,83;44,54;5,91;-5,37;38,18;42,17;3,99;0,18;2,26;2,96;-1,35;3,81;-4,00;-1,98;2,39;0,50;0,50;0,37;11,24;;13.242.134,36
APER3;25,11;0,21;-130,08;1,64;1,10;100,00;-2,57;-2,36;-119,27;-86,48;32,78;-0,45;3,07;4,52;-1,81;2,61;-1,26;-0,84;-1,38;0,67;0,33;0,36;-16,64;-31,12;2.001.663,19
APTI3;0,00;;0,00;0,00;0,00;40,52;1,16;-19,35;0,00;139,08;61,64;0,15;0,00;0,00;0,00;1,05;-3,95;-2,14;-0,75;0,54;0,46;0,11;-8,24;;
APTI4;3.500,00;;-6,96;0,28;0,15;40,52;1,16;-19,35;116,64;139,08;61,64;0,15;1,35;20,61;-0,18;1,05;-3,95;-2,14;-0,75;0,54;0,46;0,11;-8,24;;
ARZZ3;47,67;1,21;26,30;5,74;2,28;46,23;13,74;9,83;18,82;18,80;-0,01;0,00;2,58;5,50;-8,88;2,26;21,82;8,65;13,02;0,40;0,60;0,88;9,79;7,54;25.858.000,75
ATMP3;5,05;;-0,28;-0,72;0,09;-17,07;-29,80;-48,96;-0,46;-1,97;-1,51;;0,14;-0,51;-0,11;0,49;255,17;-32,62;-102,93;-0,13;1,13;0,67;-21,09;;70.011,39
ATOM3;1,80;;7,92;4,26;2,01;100,00;20,57;44,32;17,07;11,29;-5,78;-1,44;3,51;2,17;-284,99;15,01;53,70;25,37;22,03;0,47;0,53;0,57;;;277.709,39
AZEV3;13,75;;-0,57;-0,34;1,35;-159,65;-329,52;-533,18;-0,92;-0,92;-0,37;;3,04;-0,46;-2,15;0,11;59,03;-237,00;61,63;-4,02;5,02;0,44;-29,80;;637.545,61
